station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Poissonniers - Nord,18137,5,0,5,28,"[48.892511213520656, 2.3522228747606277]"
Raspail - Chomel,7101,13,29,42,49,"[48.852233164303, 2.3266580700874]"
Hôtel de Ville - Pont-Marie,4011,8,16,24,36,"[48.853899645527, 2.3569472506642]"
Bois de Vincennes.,12041,14,10,24,60,"[48.8338064, 2.4132221]"
Parvis Corentin Celton,21311,2,43,45,55,"[48.827472525227, 2.2784319519997]"
Gustave Eiffel - Parc des Impressionnistes,21114,1,0,1,30,"[48.90390619651018, 2.2946908324956894]"
Gare Arcueil - Cachan,42301,1,4,5,26,"[48.799824, 2.328171]"
Franciade - Gabriel Péri,32018,1,4,5,26,"[48.93261499331498, 2.355954498052597]"
Keller - La Roquette,11003,0,17,17,34,"[48.8555508, 2.3752778]"
Dunkerque - Faubourg Saint-Denis,10203,0,0,0,0,"[48.879591377764, 2.3570314097411]"
Parmentier - Fontaine au Roi,11034,5,3,8,48,"[48.86787670551736, 2.372705978671471]"
Mairie du 15ème,15020,3,17,20,46,"[48.8417762, 2.2986539]"
Place des Larris,41206,7,9,16,34,"[48.8568363, 2.4780236]"
Vistule - Choisy,13113,4,1,5,33,"[48.82365543660611, 2.3615723848342896]"
Manin - Crimée,19031,2,0,2,23,"[48.8831217743719, 2.3863670602440834]"
Nationale - Marcel Duchamp,13114,0,0,0,23,"[48.82463749337136, 2.3678014799952507]"
Square Desnouettes,15061,1,17,18,22,"[48.83476837934194, 2.284142297394666]"
Charonne - Philippe-Auguste,11019,3,0,3,32,"[48.855603162026, 2.39054639062]"
Place de Finlande,7026,5,7,12,25,"[48.862408335967, 2.3113624379039]"
Thérèse - Opéra,1016,12,6,18,25,"[48.866483514509, 2.3344334212238]"
Ferrus - Saint-Jacques,14007,1,1,2,34,"[48.8313878, 2.3408563]"
Le Vau - Maurice Bertaux,20103,0,4,4,25,"[48.86803439043193, 2.411030612453627]"
Daunou - Louis le Grand,2014,13,14,27,32,"[48.869113, 2.332515]"
Porte Saint-Martin,3101,5,15,20,34,"[48.86860172112996, 2.35570102930069]"
François 1er - Lincoln,8105,11,4,15,31,"[48.869517979344, 2.3024262188416]"
Bachaumont - Montmartre,2101,8,4,12,33,"[48.86617395079137, 2.3449775576591496]"
Mairie du 19ème,19021,6,0,6,27,"[48.88256264247959, 2.3812624812126164]"
Melun - Jean Jaurès,19030,1,0,1,28,"[48.8837796723475, 2.376477420330048]"
Jean Jaurès - Reine,21004,4,17,21,31,"[48.84009622558849, 2.239872515201569]"
Fernand Braudel - Vincent Auriol,13019,7,14,21,36,"[48.83637852318147, 2.3723404482007027]"
